CID,CYCLE,INDVIS,ORG_NAME,PACS,TOTAL,SOURCE
N00000362,2022,25525,General Dynamics,4000,29525
N00000362,2022,23491,Walt Disney Co,0,23491
N00000362,2022,13650,General Atomics,9000,22650
N00000362,2022,20000,Century 21 Department Stores,0,20000
N00000362,2022,7500,Service Employees International Union,10000,17500
N00000362,2022,6600,Comcast Corp,10000,16600
N00000362,2022,11400,Greenberg Traurig LLP,5000,16400
N00000362,2022,14000,"Kramer, Levin et al",0,14000
N00000362,2020,19000,General Atomics,0,19000
N00000362,2020,14500,Starkey Hearing Technologies,2500,17000
N00000362,2020,8500,Raytheon Technologies,2000,10500
N00000362,2020,0,Plumbers/Pipefitters Union,8000,8000
N00000362,2020,0,L3Harris Technologies,7500,7500
N00000362,2020,0,Laborers Union,7500,7500
N00000362,2020,6500,Dimeo Construction,0,6500
N00000362,2020,0,Serco Group,6500,6500
N00000362,2020,5800,Kapco Holdings,0,5800
N00000362,2020,0,Amazon.com,5000,5000
N00000362,2020,47800,Lockheed Martin,7000,54800
N00000362,2020,39625,L3Harris Technologies,5000,44625
N00000362,2020,25525,General Dynamics,4000,29525
N00000362,2020,23491,Walt Disney Co,0,23491
N00000362,2020,13650,General Atomics,9000,22650
N00000362,2020,20000,Century 21 Department Stores,0,20000
N00000362,2020,7500,Service Employees International Union,10000,17500
N00000362,2020,6600,Comcast Corp,10000,16600
N00000362,2020,11400,Greenberg Traurig LLP,5000,16400
N00000362,2020,14000,"Kramer, Levin et al",0,14000
N00000491,2022,15000,Axxess Technology Solutions,5000,20000
N00000491,2022,14400,Walton Family Foundation,0,14400
N00000491,2022,11600,Duchossois Group,0,11600
N00000491,2022,11200,Crow Holdings,0,11200
N00000491,2022,0,Argentum,10000,10000
N00000491,2022,0,Parsons Corp,7500,7500
N00000491,2022,5800,Anduril Industries,1000,6800
N00000491,2022,6500,National Assn of Broadcasters,0,6500
N00000491,2022,6000,Winged Keel Group,0,6000
N00000491,2022,5800,Affinity Capital Management,0,5800
N00000491,2022,115825,Votesane PAC,0,115825
N00000491,2022,87321,Blackstone Group,0,87321
N00000491,2022,57067,Republican Jewish Coalition,5000,62067
N00000491,2022,47175,Goldman Sachs,2500,49675
N00000491,2022,24366,Blue Cross/Blue Shield,17500,41866
N00000491,2022,39348,Sullivan & Cromwell,0,39348
N00000491,2022,32035,KKR & Co,5000,37035
N00000491,2022,35600,McNa Dental Plans,0,35600
N00000491,2022,34000,Elliott Management,0,34000
N00000491,2022,33603,General Dynamics,0,33603
N00000491,2020,15000,Axxess Technology Solutions,5000,20000
N00000491,2020,14400,Walton Family Foundation,0,14400
N00000491,2020,11600,Duchossois Group,0,11600
N00000491,2020,11200,Crow Holdings,0,11200
N00000491,2020,0,Argentum,10000,10000
N00000491,2020,0,Parsons Corp,7500,7500
N00000491,2020,5800,Anduril Industries,1000,6800
N00000491,2020,6500,National Assn of Broadcasters,0,6500
N00000491,2020,6000,Winged Keel Group,0,6000
N00000491,2020,5800,Affinity Capital Management,0,5800
N00000491,2020,115825,Votesane PAC,0,115825
N00000491,2020,87321,Blackstone Group,0,87321
N00000491,2020,57067,Republican Jewish Coalition,5000,62067
N00000491,2020,47175,Goldman Sachs,2500,49675
N00000491,2020,24366,Blue Cross/Blue Shield,17500,41866
N00000491,2020,39348,Sullivan & Cromwell,0,39348
N00000491,2020,32035,KKR & Co,5000,37035
N00000491,2020,35600,McNa Dental Plans,0,35600
N00000491,2020,34000,Elliott Management,0,34000
N00000491,2020,33603,General Dynamics,0,33603
N00000515,2022,67423,J Street,3043,70466
N00000515,2022,20150,Democracy Engine,0,20150
N00000515,2022,17400,Berkshire Group,0,17400
N00000515,2022,14600,Comcast Corp,0,14600
N00000515,2022,3800,National Education Assn,10000,13800
N00000515,2022,10800,"Akin, Gump et al",2500,13300
N00000515,2022,12600,Plymouth Rock Co,0,12600
N00000515,2022,11600,Katsky Korins LLP,0,11600
N00000515,2022,11600,Maple Syrup Producer/Private Investor,0,11600
N00000515,2022,11600,One Better Ventures,0,11600
N00000515,2022,11235,JAB Holding Co,1500,12735
N00000515,2022,11450,Mentor Network,0,11450
N00000515,2022,0,America's Communication Assn,10000,10000
N00000515,2022,0,American Hotel & Lodging Assn,10000,10000
N00000515,2022,0,American Optometric Assn,10000,10000
N00000515,2022,0,National Assn of Convenience Stores,10000,10000
N00000515,2022,0,National Rural Electric Cooperative Assn,10000,10000
N00000515,2022,0,"Sheet Metal, Air, Rail & Transportation Union",10000,10000
N00000515,2022,0,National Assn of Realtors,9000,9000
N00000515,2022,113,Lowe's Companies,8500,8613
N00000515,2020,67423,J Street,3043,70466
N00000515,2020,20150,Democracy Engine,0,20150
N00000515,2020,17400,Berkshire Group,0,17400
N00000515,2020,14600,Comcast Corp,0,14600
N00000515,2020,3800,National Education Assn,10000,13800
N00000515,2020,10800,"Akin, Gump et al",2500,13300
N00000515,2020,12600,Plymouth Rock Co,0,12600
N00000515,2020,11600,Katsky Korins LLP,0,11600
N00000515,2020,11600,Maple Syrup Producer/Private Investor,0,11600
N00000515,2020,11600,One Better Ventures,0,11600
N00000515,2020,11235,JAB Holding Co,1500,12735
N00000515,2020,11450,Mentor Network,0,11450
N00000515,2020,0,America's Communication Assn,10000,10000
N00000515,2020,0,American Hotel & Lodging Assn,10000,10000
N00000515,2020,0,American Optometric Assn,10000,10000
