CYCLE,ORGID,ORGNAME,TOTAL,INDIVS,PACS,SOFT,TOT527,DEMS,REPUBS,LOBBYING,OUTSIDE,MEMS_INVESTED,GAVE_TO_PAC,GAVE_TO_PARTY,GAVE_TO_527,GAVE_TO_CAND,SOURCE
2022,D000030843,Vintage Capital Group,52350,17350,0,35000,0,0,17350,0,0,0,0,5750,11600,0,www.opensecrets.org/orgs/summary.php?id=D000030843
2014,D000058412,Washington Capital Group,500,500,0,0,0,0,500,0,0,0,0,0,500,0,www.opensecrets.org/orgs/summary.php?id=D000058412
2022,D000087650,Weinberg Capital Group,162876,162876,0,0,0,0,162876,0,0,0,0,138361,11800,0,www.opensecrets.org/orgs/summary.php?id=D000087650
2018,D000043844,Wind Capital Group,3500,3500,0,0,0,3500,0,0,0,0,0,0,3500,0,www.opensecrets.org/orgs/summary.php?id=D000043844
2020,D000085719,Windsor Capital Group,10698,10698,0,0,0,10623,75,0,0,0,0,0,10698,0,www.opensecrets.org/orgs/summary.php?id=D000085719
2016,D000076616,American Viewpoint,10000,0,0,5000,5000,0,0,0,0,0,0,0,0,5000,www.opensecrets.org/orgs/summary.php?id=D000076616
2014,D000079176,Archview Investment Group,1000,1000,0,0,0,0,1000,0,0,0,0,0,1000,0,www.opensecrets.org/orgs/summary.php?id=D000079176
2020,D000031846,Battleview Investments,4800,4800,0,0,0,0,4800,0,0,0,0,0,4800,0,www.opensecrets.org/orgs/summary.php?id=D000031846
2022,D000097108,Bayview Asset Management,32800,7800,0,25000,0,7800,0,0,0,0,0,0,7800,0,www.opensecrets.org/orgs/summary.php?id=D000097108
2020,D000087167,Bayview Financial,1610,1610,0,0,0,595,1015,0,0,0,0,310,1294,0,www.opensecrets.org/orgs/summary.php?id=D000087167
2022,D000031858,Bayview Financial Trading Group,11600,11600,0,0,0,11600,0,0,0,0,0,0,11600,0,www.opensecrets.org/orgs/summary.php?id=D000031858
2020,D000067085,Bayview Hunters Point Foundation,201,201,0,0,0,201,0,0,0,0,0,85,75,0,www.opensecrets.org/orgs/summary.php?id=D000067085
2022,D000095911,Brightview Senior Living,42050,37050,0,5000,0,37050,0,0,0,0,0,8300,28750,0,www.opensecrets.org/orgs/summary.php?id=D000095911
2018,D000048014,Broadview Advisors,5400,5400,0,0,0,0,5400,0,0,0,0,0,5400,0,www.opensecrets.org/orgs/summary.php?id=D000048014
2016,D000080958,Broadview Networks,3218,3218,0,0,0,2627,591,0,0,0,0,215,2998,0,www.opensecrets.org/orgs/summary.php?id=D000080958
2022,D000070612,Broadview Security,250,250,0,0,0,250,0,0,0,0,0,0,250,0,www.opensecrets.org/orgs/summary.php?id=D000070612
2022,D000095756,Centerview Capital,13400,13400,0,0,0,0,13400,0,0,0,0,5000,6600,0,www.opensecrets.org/orgs/summary.php?id=D000095756
2022,D000032451,Centerview Partners,909997,759997,0,150000,0,719288,40709,0,0,0,2900,285945,432852,0,www.opensecrets.org/orgs/summary.php?id=D000032451
2020,D000079514,"City of Belleview, FL",130,130,0,0,0,130,0,0,0,0,0,0,130,0,www.opensecrets.org/orgs/summary.php?id=D000079514
2022,D000048984,"City of Longview, WA",400,400,0,0,0,300,100,40000,0,0,0,0,400,0,www.opensecrets.org/orgs/summary.php?id=D000048984
2022,D000085594,CityView Inc,9013,9013,0,0,0,9013,0,0,0,0,0,0,9013,0,www.opensecrets.org/orgs/summary.php?id=D000085594
2022,D000091919,Clearview AI,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,www.opensecrets.org/orgs/summary.php?id=D000091919
2012,D000042787,Clearview Cinemas,1250,1250,0,0,0,0,1250,0,0,0,0,0,1000,0,www.opensecrets.org/orgs/summary.php?id=D000042787
2020,D000096163,Clearview Energy,18073,7073,0,1000,10000,6973,0,0,0,0,0,45,6928,10000,www.opensecrets.org/orgs/summary.php?id=D000096163
2020,D000096164,Clearview Energy Partners,200,200,0,0,0,150,0,0,0,0,0,0,150,0,www.opensecrets.org/orgs/summary.php?id=D000096164
2012,D000032660,Clearview Projects,192200,182200,0,10000,0,182200,0,0,0,0,0,132900,49300,0,www.opensecrets.org/orgs/summary.php?id=D000032660
2022,D000032706,Coastview Capital,53600,53600,0,0,0,0,53600,0,0,0,0,0,53600,0,www.opensecrets.org/orgs/summary.php?id=D000032706
